tit,tipo,prov,label,type,id,localidad,coord
Público,CEIP,Zaragoza,"CEIP GIL TARÍN",cen,50017448,"Muela (La)","41.581116, -1.116507"
Público,CEIP,Zaragoza,"CEIP CASTILLO QADRIT",cen,50011288,Cadrete,"41.559814, -0.964642"
Público,CEIP,Zaragoza,"CEIP FORO ROMANO",cen,50018283,"Cuarte De Huerva","41.585459, -0.945038"
Público,CEIP,Zaragoza,"CEIP HILARIÓN GIMENO",cen,50006220,Zaragoza,"41.659258, -0.867356"
Público,CEIP,Zaragoza,"CEIP LAS FUENTES",cen,50009403,Zaragoza,"41.648712, -0.864709"
Público,CEIP,Zaragoza,"CEIP FERNÁNDEZ VIZARRA",cen,50005641,Zaragoza,"41.700386, -0.971411"
Público,CEIP,Zaragoza,"CEIP MARÍA MOLINER",cen,50009452,Zaragoza,"41.633074, -0.873851"
Público,CEE,Zaragoza,"CEE ANGEL RIVIÈRE",cen,50017369,Zaragoza,"41.661587, -0.883011"
"Privado Concertado",CPRI-INPRISE,Zaragoza,"CPRI-INPRISE NTRA. SRA. DEL CARMEN",cen,50007133,Zaragoza,"41.645649, -0.881106"
Público,CEIP,Zaragoza,"CEIP PARQUE EUROPA",cen,50017451,Utebo,"41.702493, -0.998783"
